노트,설명
bergamot,"상큼하고 시트러스한 향으로, 탑노트에서 주로 사용됩니다."
cedar,"우디하고 드라이한 향으로, 차분하고 안정적인 느낌을 줍니다."
clary sage,"허브향이 풍부하며, 따뜻하고 흙내음이 나는 향입니다."
cocoa,"달콤하고 초콜릿 같은 향으로, 포근하고 따뜻한 느낌을 줍니다."
coriander,"스파이시하고 따뜻한 향으로, 향에 깊이를 더합니다."
hibiscus,"부드럽고 달콤한 플로럴 향으로, 이국적인 느낌을 줍니다."
incense,신비롭고 깊이 있는 스모키한 향입니다.
iris,"파우더리하고 우아한 플로럴 향으로, 고급스러운 느낌을 줍니다."
jasmine,"짙고 관능적인 플로럴 향으로, 중심적인 플로럴 노트입니다."
jasmine tea,은은하고 깨끗한 플로럴 향에 티향이 가미된 부드러운 향입니다.
labdanum,달콤하고 따뜻하며 약간의 가죽향이 섞인 레진 향입니다.
madagascar vanilla,"부드럽고 풍부한 바닐라 향으로, 고급스럽고 따뜻한 느낌을 줍니다."
mint and wood moss,상쾌한 민트향과 이끼의 청량한 향이 어우러진 노트입니다.
moss and rippled sand accord,이끼와 모래의 자연스럽고 중성적인 향 조합입니다.
mother of pearl hibiscus and woods,진주빛 히비스커스와 우디한 향이 어우러진 독특한 조합입니다.
musk,"포근하고 부드러운 향으로, 향수의 바탕을 이루는 따뜻한 노트입니다."
nutmeg,"달콤하고 스파이시한 향으로, 따뜻한 느낌을 줍니다."
oakmoss,습한 숲의 느낌을 주는 짙고 초록빛 우디 향입니다.
olibanum,"프랑킨센스라고도 불리며, 따뜻하고 스파이시한 레진 향입니다."
patchouli,"짙고 흙내음이 나는 향으로, 깊이 있고 감성적인 느낌을 줍니다."
rose,고전적이고 로맨틱한 플로럴 향의 대표 주자입니다.
saffron,"따뜻하고 약간의 금속성 향을 가진 향료로, 이국적인 분위기를 줍니다."
sandalwood,"부드럽고 크리미한 우디 향으로, 편안함을 줍니다."
star anise,"달콤하고 이국적인 스파이스 향으로, 개성을 더합니다."
tangerine,"상큼하고 달콤한 시트러스 향으로, 생기발랄한 느낌입니다."
tonka bean,바닐라와 아몬드 느낌이 섞인 달콤하고 따뜻한 향입니다.
vanilla,"부드럽고 달콤하며 포근한 향으로, 많은 향수에서 기본이 됩니다."
vetiver,"스모키하고 흙내음 나는 우디 향으로, 남성적인 느낌을 줍니다."
vetiver and cedar,드라이한 베티버와 시원한 시더우드가 조화를 이룹니다.
violet leaf,녹음이 우거진 잎사귀 향과 파우더리한 플로럴 향이 어우러집니다.
white flowers,"자스민, 튜베로즈 등 하얀 꽃의 우아하고 깨끗한 향입니다."
agarwood,"우디하고 스모키한 오리엔탈 향으로, 묵직하고 고급스러운 느낌입니다."
amber,"따뜻하고 부드러운 레진 향으로, 포근하고 매혹적인 분위기를 줍니다."
cashmir wood,"부드럽고 포근한 우디 향으로, 고급스러운 감촉을 연상시킵니다."
delicate musky sensual woods,섬세한 머스크와 우디한 향이 부드럽고 감각적으로 조화를 이룹니다.
gardenia,"크리미하고 관능적인 플로럴 향으로, 이국적인 느낌을 줍니다."
green teas,"상쾌하고 맑은 녹차 향으로, 깨끗하고 자연스러운 분위기를 줍니다."
